file,result,error
cnl00001418,True,
cnl00033443,True,
cnl00008263,True,
cnl00030284,True,
cnl00033444,True,
cnl00010417,True,
cnl00013618,True,
cnl00008552,True,
cnl00014170,True,
cnl00009976,True,
cnl00013067,True,
cnl00008265,True,
cnl00032863,True,
cnl00033718,True,
cnl00010055,True,
cnl00024150,True,
cnl00016139,True,
cnl00034638,True,
cnl00002977,True,
cnl00033446,True,
cnl00016284,True,
cnl00006083,True,
cnl00008413,True,
cnl00033447,True,
cnl00012468,True,
cnl00011388,True,
cnl00000454,True,
cnl00012214,True,
cnl00019316,True,
cnl00018680,True,
cnl00032597,True,
cnl00013298,True,
cnl00015356,True,
cnl00033448,True,
cnl00015380,True,
cnl00033720,True,
cnl00000429,True,
cnl00006170,True,
cnl00009110,True,
cnl00016561,True,
cnl00006463,True,
cnl00007162,True,
cnl00033721,True,
cnl00024115,True,
cnl00010620,True,
cnl00033719,True,
cnl00011137,True,
cnl00028191,True,
cnl00029261,True,
cnl00035046,True,
cnl00049702,True,
cnl00009734,True,
cnl00019781,True,
cnl00016080,True,
cnl00000888,True,
cnl00033449,True,
cnl00009406,True,
cnl00033450,True,
cnl00031814,True,
cnl00001029,True,
cnl00033453,True,
cnl00014634,True,
cnl00035195,True,
cnl00009875,True,
cnl00029714,True,
cnl00016106,True,
cnl00014820,True,
cnl00014177,True,
cnl00049402,True,
cnl00011658,True,
cnl00015798,True,
cnl00030115,True,
cnl00033454,True,
cnl00012479,True,
cnl00033455,True,
cnl00033456,True,
cnl00033457,True,
cnl00006190,True,
cnl00028415,True,
cnl00016241,True,
cnl00010717,True,
cnl00019522,True,
cnl00028375,True,
cnl00014667,True,
cnl00028368,True,
cnl00016240,True,
cnl00036141,True,
cnl00012525,True,
cnl00010570,True,
cnl00009567,True,
cnl00026964,True,
cnl00024067,True,
cnl00006059,True,
cnl00003094,True,
cnl00006587,True,
cnl00013727,True,
cnl00012051,True,
cnl00020782,True,
cnl00027860,True,
cnl00010696,True,
cnl00037013,True,
cnl00038656,True,
cnl00027144,True,
cnl00027508,True,
cnl00006611,True,
cnl00029932,True,
cnl00018881,True,
cnl00009341,True,
cnl00022846,True,
cnl00011695,True,
cnl00012580,True,
cnl00011265,True,
cnl00016481,True,
cnl00020154,True,
cnl00027022,True,
cnl00017994,True,
cnl00006426,True,
cnl00009084,True,
cnl00011248,True,
cnl00009873,True,
cnl00016076,True,
cnl00029565,True,
cnl00031531,True,
cnl00016356,True,
cnl00021159,True,
cnl00027990,True,
cnl00026968,True,
cnl00024979,True,
cnl00017504,True,
cnl00027240,True,
cnl00017359,True,
cnl00014133,True,
cnl00015331,True,
cnl00026033,True,
cnl00021354,True,
cnl00004500,True,
cnl00010431,True,
cnl00033458,True,
cnl00031173,True,
cnl00014248,True,
cnl00029317,True,
cnl00006200,True,
cnl00033459,True,
cnl00023633,True,
cnl00009069,True,
cnl00029183,True,
cnl00027922,True,
cnl00018344,True,
cnl00027225,True,
cnl00033886,True,
cnl00013076,True,
cnl00017172,True,
cnl00032528,True,
cnl00034518,True,
cnl00032608,True,
cnl00017041,True,
cnl00026636,True,
cnl00022207,True,
cnl00000017,True,
cnl00020674,True,
cnl00020689,True,
cnl00033727,True,
cnl00033461,True,
cnl00032579,True,
cnl00013643,True,
cnl00006045,True,
cnl00033804,True,
cnl00019666,True,
cnl00025554,True,
cnl00027004,True,
cnl00033728,True,
cnl00016290,True,
cnl00000817,True,
cnl00033464,True,
cnl00017927,True,
cnl00033729,True,
cnl00016455,True,
cnl00033489,True,
cnl00006135,True,
cnl00000390,True,
cnl00020074,True,
cnl00025000,True,
cnl00015648,True,
cnl00009663,True,
cnl00016347,True,
cnl00008119,True,
cnl00030762,True,
cnl00014718,True,
cnl00013565,True,
cnl00010595,True,
cnl00027989,True,
cnl00011506,True,
cnl00033730,True,
cnl00012905,True,
cnl00024023,True,
cnl00004120,True,
cnl00016089,True,
cnl00007364,True,
cnl00014687,True,
cnl00032441,True,
cnl00009065,True,
cnl00022601,True,
cnl00009219,True,
cnl00011430,True,
cnl00016869,True,
cnl00033467,True,
cnl00008103,True,
cnl00016066,True,
cnl00009506,True,
cnl00015128,True,
cnl00028487,True,
cnl00009858,True,
cnl00017995,True,
cnl00011678,True,
cnl00030577,True,
cnl00033468,True,
cnl00033469,True,
cnl00029652,True,
cnl00008399,True,
cnl00007000,True,
cnl00008294,True,
cnl00006229,True,
cnl00005389,True,
cnl00017194,True,
cnl00018528,True,
cnl00004012,True,
cnl00015541,True,
cnl00007466,True,
cnl00016231,True,
cnl00029727,True,
cnl00020491,True,
cnl00011477,True,
cnl00014692,True,
cnl00037772,True,
cnl00012651,True,
cnl00000655,True,
cnl00000707,True,
cnl00033711,True,
cnl00027389,True,
cnl00031359,True,
cnl00013479,True,
cnl00019876,True,
cnl00007686,True,
cnl00030373,True,
cnl00014053,True,
cnl00016328,True,
cnl00024434,True,
cnl00039199,True,
cnl00008881,True,
cnl00000642,True,
cnl00023331,True,
cnl00008319,True,
cnl00028989,True,
cnl00009063,True,
cnl00006989,True,
cnl00001631,True,
cnl00003946,True,
cnl00029991,True,
cnl00043111,True,
cnl00009051,True,
cnl00020680,True,
cnl00030981,True,
cnl00033471,True,
cnl00025875,True,
cnl00033732,True,
cnl00025979,True,
cnl00030455,True,
cnl00009609,True,
cnl00024692,True,
cnl00033733,True,
cnl00033472,True,
cnl00008579,True,
cnl00046886,True,
cnl00029328,True,
cnl00016025,True,
cnl00023509,True,
cnl00021649,True,
cnl00030267,True,
cnl00030251,True,
cnl00030054,True,
cnl00021693,True,
cnl00016303,True,
cnl00007293,True,
cnl00020592,True,
cnl00018740,True,
cnl00027122,True,
cnl00006030,True,
cnl00017945,True,
cnl00010105,True,
cnl00033473,True,
cnl00009595,True,
cnl00008707,True,
cnl00012715,True,
cnl00010716,True,
cnl00016112,True,
cnl00020518,True,
cnl00010451,True,
cnl00033736,True,
cnl00025737,True,
cnl00025736,True,
cnl00021245,True,
cnl00021246,True,
cnl00033737,True,
cnl00033738,True,
cnl00008813,True,
cnl00013429,True,
cnl00013481,True,
cnl00012940,True,
cnl00033475,True,
cnl00033476,True,
cnl00019774,True,
cnl00016204,True,
cnl00033739,True,
cnl00013808,True,
cnl00020011,True,
cnl00049682,True,
cnl00014244,True,
cnl00017269,True,
cnl00033477,True,
cnl00026913,True,
cnl00033740,True,
cnl00007106,True,
cnl00033479,True,
cnl00020866,True,
cnl00007207,True,
cnl00020797,True,
cnl00008637,True,
cnl00011476,True,
cnl00006842,True,
cnl00012630,True,
cnl00006837,True,
cnl00018801,True,
cnl00016129,True,
cnl00013475,True,
cnl00032811,True,
cnl00007428,True,
cnl00027317,True,
cnl00014960,True,
cnl00012533,True,
cnl00010398,True,
cnl00011211,True,
cnl00032001,True,
cnl00007503,True,
cnl00030386,True,
cnl00021531,True,
cnl00006603,True,
cnl00023887,True,
cnl00029756,True,
cnl00011491,True,
cnl00009081,True,
cnl00023984,True,
cnl00016079,True,
cnl00029601,True,
cnl00012158,True,
cnl00008266,True,
cnl00010262,True,
cnl00033480,True,
cnl00038213,True,
cnl00010048,True,
cnl00033481,True,
cnl00010625,True,
cnl00043341,True,
cnl00027810,True,
cnl00015410,True,
cnl00023803,True,
cnl00002720,True,
cnl00033483,True,
cnl00032952,True,
cnl00003364,True,
cnl00022118,True,
cnl00032273,True,
cnl00031891,True,
cnl00007525,True,
cnl00006822,True,
cnl00000732,True,
cnl00008422,True,
cnl00032279,True,
cnl00033485,True,
cnl00033486,True,
cnl00033487,True,
cnl00031562,True,
cnl00016235,True,
cnl00009180,True,
cnl00019944,True,
cnl00033488,True,
cnl00007676,True,
cnl00007677,True,
cnl00027359,True,
cnl00033743,True,
cnl00007947,True,
cnl00025041,True,
cnl00012605,True,
cnl00027275,True,
cnl00003477,True,
